milliseconds,orientationx,orientationy,orientationz,angVelocityx,angVelocityy,angVelocityz,linAccelerationx,linAccelerationy,linAccelerationz,magneticx,magneticy,magneticz,accelerationx,accelerationy,accelerationz,gravityx,gravityy,gravityz,altitude
5401092,61.19,-61.62,140.81,0.05,0.06,0.06,-0.17,-0.11,-0.03,37.19,29.25,2.69,-8.93,-3.07,-3.68,-8.63,-2.93,-3.61,50.37
5401123,61.56,-61.69,140.81,0.26,0.03,0.09,-0.10,-0.05,0.01,37.19,29.25,2.69,-8.74,-2.99,-3.58,-8.63,-2.93,-3.60,50.41
5401146,62.00,-61.69,140.62,0.32,0.03,0.11,0.02,0.05,0.11,37.56,28.56,2.25,-8.61,-2.89,-3.47,-8.63,-2.94,-3.58,50.35
5401177,62.38,-61.75,140.56,0.15,0.04,0.09,0.16,0.11,0.10,37.56,28.56,2.25,-8.47,-2.82,-3.47,-8.64,-2.94,-3.57,50.33
5401203,62.31,-61.75,140.75,-0.04,0.05,0.04,0.13,0.05,-0.12,36.88,28.88,3.19,-8.52,-2.87,-3.78,-8.64,-2.92,-3.59,50.32
5401232,62.38,-61.75,140.94,0.07,0.07,0.05,0.09,0.12,-0.23,36.88,28.88,3.19,-8.54,-2.79,-3.83,-8.64,-2.91,-3.60,50.23
5401261,62.50,-61.75,141.00,0.13,0.08,0.06,0.19,0.17,-0.10,37.56,28.88,0.56,-8.44,-2.73,-3.71,-8.63,-2.91,-3.61,50.24
5401289,62.75,-61.69,141.19,0.13,0.09,0.06,-0.16,0.10,0.05,36.88,28.88,2.69,-8.92,-2.80,-3.52,-8.63,-2.91,-3.62,50.28
5401320,63.00,-61.56,141.38,0.08,0.13,0.07,-0.44,0.12,0.19,36.88,28.88,2.69,-9.07,-2.77,-3.46,-8.62,-2.90,-3.65,50.27
5401349,63.19,-61.44,141.75,0.12,0.20,0.12,-0.44,0.15,0.13,38.00,27.75,2.38,-8.86,-2.64,-3.55,-8.61,-2.88,-3.69,50.32
5401380,63.69,-61.31,142.25,0.33,0.30,0.19,0.04,0.44,0.14,38.00,27.75,2.38,-8.55,-2.42,-3.59,-8.59,-2.87,-3.73,50.24
5401410,64.44,-61.06,142.81,0.33,0.39,0.20,0.27,0.44,-0.10,38.69,28.19,3.19,-8.29,-2.41,-3.90,-8.57,-2.85,-3.80,50.22
5401439,65.25,-60.69,143.44,0.37,0.40,0.18,0.26,0.36,-0.26,38.69,28.19,3.19,-8.34,-2.50,-4.20,-8.54,-2.85,-3.87,50.17
5401470,66.38,-60.38,143.75,0.50,0.36,0.17,-0.11,0.17,-0.27,38.38,27.50,2.25,-8.63,-2.69,-4.19,-8.51,-2.87,-3.92,50.17
5401499,67.69,-60.12,143.75,0.56,0.27,0.16,0.09,0.14,-0.09,38.38,27.50,2.69,-8.03,-2.79,-3.93,-8.50,-2.89,-3.94,50.18
5401530,68.94,-60.00,143.62,0.58,0.19,0.19,0.82,-0.04,0.02,38.38,27.50,2.69,-7.66,-2.95,-3.92,-8.49,-2.91,-3.94,50.15
5401560,70.12,-60.00,143.38,0.66,0.14,0.27,0.54,-0.40,-0.11,39.06,27.75,3.19,-7.95,-3.32,-4.03,-8.50,-2.91,-3.92,50.21
5401589,71.38,-60.19,143.19,0.67,0.10,0.34,0.04,-0.48,-0.16,39.06,27.75,3.19,-8.62,-3.40,-4.06,-8.51,-2.90,-3.89,50.15
5401620,72.25,-60.44,143.19,0.53,0.05,0.32,-0.46,-0.37,0.00,38.69,26.69,1.88,-9.00,-3.26,-3.86,-8.53,-2.89,-3.86,50.16
5401649,72.88,-60.69,143.12,0.41,0.02,0.24,-0.34,-0.14,0.23,39.88,26.25,1.88,-8.81,-2.93,-3.51,-8.55,-2.87,-3.83,50.12
5401680,73.38,-60.75,143.00,0.26,0.03,0.12,0.00,0.07,0.49,39.88,26.25,1.88,-8.52,-2.75,-3.33,-8.56,-2.87,-3.81,50.18
5401711,73.94,-60.75,142.88,0.29,0.08,0.08,0.21,0.41,0.37,39.50,26.00,1.38,-8.33,-2.47,-3.43,-8.55,-2.89,-3.81,50.17
5401740,74.75,-60.69,142.69,0.40,0.15,0.08,0.43,0.50,0.18,39.50,26.00,1.38,-8.02,-2.47,-3.70,-8.55,-2.91,-3.81,50.14
5401771,76.00,-60.56,142.31,0.62,0.19,0.12,0.73,0.00,-0.26,40.19,25.19,1.00,-7.80,-2.94,-4.07,-8.53,-2.95,-3.81,50.28
5401799,77.75,-60.44,141.81,0.81,0.21,0.18,0.54,-0.32,-0.48,40.56,26.00,-0.25,-7.99,-3.30,-4.28,-8.53,-2.99,-3.79,50.22
5401825,79.50,-60.44,141.31,0.82,0.17,0.25,-0.09,-0.73,-0.62,40.56,26.00,-0.25,-8.81,-3.77,-4.32,-8.53,-3.02,-3.76,50.14
5401855,80.81,-60.62,140.88,0.65,0.06,0.25,-0.56,-0.74,-0.30,41.00,26.00,1.00,-9.11,-3.77,-4.03,-8.54,-3.03,-3.73,50.14
5401883,81.62,-60.81,140.56,0.44,0.00,0.20,-0.56,-0.54,0.11,41.00,26.00,1.00,-9.12,-3.57,-3.58,-8.56,-3.03,-3.69,50.22
